gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
COL4A1,0.079415604,0.0871282,0.007712595,123.0,188.0,0.007712595
SSUH2,0.059606515,0.067316346,0.007709831,96.0,169.0,0.007709831
PRR29,0.0029055465,0.010611465,0.0077059185,6.0,15.0,0.0077059185
THUMPD2,0.19796608,0.20566452,0.0076984316,326.0,612.0,0.0076984316
REV3L,0.12510747,0.13278826,0.0076807886,198.0,327.0,0.0076807886
MID1,0.0583662,0.06604516,0.007678956,91.0,141.0,0.007678956
TPX2,0.051824935,0.059501287,0.007676352,97.0,145.0,0.007676352
ICAM2,0.038240705,0.045910817,0.007670112,63.0,148.0,0.007670112
ESYT2,0.0671896,0.07485956,0.007669963,109.0,198.0,0.007669963
ATG14,0.056729138,0.06439781,0.007668674,91.0,163.0,0.007668674
WASHC4,0.16498649,0.15732783,-0.0076586604,271.0,487.0,0.0076586604
CWF19L1,0.0701779,0.06252064,-0.0076572597,110.0,159.0,0.0076572597
FRMD8,0.071746185,0.07940331,0.0076571256,124.0,259.0,0.0076571256
LRRC17,0.008453578,0.016080309,0.007626731,15.0,65.0,0.007626731
LIMK2,0.10416388,0.09654896,-0.007614918,181.0,319.0,0.007614918
TTC6,0.01898498,0.011375263,-0.0076097175,25.0,17.0,0.0076097175
PAQR4,0.027709594,0.035312105,0.007602511,51.0,77.0,0.007602511
DGKZ,0.061405614,0.053805638,-0.007599976,101.0,135.0,0.007599976
EZH1,0.04343547,0.03583553,-0.0075999387,63.0,71.0,0.0075999387
SBF1,0.014350592,0.006754827,-0.007595765,25.0,23.0,0.007595765
RNF180,0.020683933,0.013095465,-0.0075884685,34.0,36.0,0.0075884685
GGT1,0.010720092,0.0031329368,-0.0075871553,17.0,6.0,0.0075871553
MXD3,0.014027128,0.021575788,0.00754866,25.0,22.0,0.00754866
HMMR,0.039635178,0.047172435,0.007537257,62.0,102.0,0.007537257
ATP9A,0.080398716,0.08792857,0.007529855,131.0,209.0,0.007529855
CEP126,0.03023753,0.0377642,0.0075266697,50.0,119.0,0.0075266697
ZNF335,0.028704904,0.021178942,-0.007525962,45.0,51.0,0.007525962
FZD1,0.026632005,0.034153007,0.0075210016,36.0,87.0,0.0075210016
PITX2,0.14941105,0.14189297,-0.007518083,250.0,380.0,0.007518083
DENND1A,0.033371616,0.025859488,-0.007512128,61.0,66.0,0.007512128
GPC4,0.0449393,0.037428875,-0.0075104237,73.0,118.0,0.0075104237
TRPM4,0.019412054,0.011905772,-0.007506282,36.0,28.0,0.007506282
KCNN4,0.04647012,0.053968273,0.0074981526,74.0,155.0,0.0074981526
NELL2,0.06745432,0.07490499,0.00745067,116.0,227.0,0.00745067
LINC02535,0.070316486,0.07776119,0.007444702,121.0,184.0,0.007444702
CYP4X1,0.058855362,0.06629641,0.0074410513,88.0,138.0,0.0074410513
GNAI1,0.10907422,0.11649614,0.007421918,176.0,318.0,0.007421918
SMAD7,0.0657358,0.073157676,0.0074218735,101.0,179.0,0.0074218735
ACSM3,0.13799356,0.13057317,-0.007420391,228.0,380.0,0.007420391
GRHL1,0.010390419,0.002975264,-0.0074151545,17.0,14.0,0.0074151545
GPR180,0.047953267,0.055365678,0.0074124113,80.0,168.0,0.0074124113
BCAS1,0.012300531,0.0048894575,-0.007411074,15.0,6.0,0.007411074
EMP2,0.07817605,0.085586645,0.0074105933,139.0,305.0,0.0074105933
PUM2,0.20634878,0.21375488,0.0074061006,345.0,530.0,0.0074061006
TAOK1,0.11341831,0.12081507,0.0073967576,177.0,283.0,0.0073967576
DDX55,0.15034193,0.15772606,0.0073841363,250.0,476.0,0.0073841363
SP110,0.06930317,0.076683305,0.0073801354,115.0,215.0,0.0073801354
CBX4,0.08902499,0.0964048,0.0073798075,157.0,313.0,0.0073798075
PRKG1,0.022285117,0.014911335,-0.007373782,34.0,32.0,0.007373782
KCTD21-AS1,0.011636214,0.0042665154,-0.007369699,21.0,14.0,0.007369699
CPXM1,0.011810285,0.01917875,0.007368465,20.0,51.0,0.007368465
PEG10,0.19780302,0.19043642,-0.0073665977,349.0,394.0,0.0073665977
MBTPS1,0.14709134,0.1397344,-0.0073569417,241.0,366.0,0.0073569417
CCDC9,0.023617426,0.016268872,-0.007348554,37.0,39.0,0.007348554
PDLIM4,0.048031736,0.055367723,0.007335987,74.0,124.0,0.007335987
LRRC75B,0.027182244,0.034506306,0.0073240623,36.0,67.0,0.0073240623
LRRC8B,0.062120512,0.0694437,0.0073231906,103.0,188.0,0.0073231906
PPWD1,0.14053088,0.14785059,0.0073197037,224.0,353.0,0.0073197037
NBR1,0.23603097,0.22871286,-0.0073181093,401.0,581.0,0.0073181093
LYSMD2,0.058911383,0.066227555,0.007316172,98.0,125.0,0.007316172
SLC26A11,0.053572387,0.046270795,-0.0073015913,82.0,116.0,0.0073015913
ANKRD9,0.053986862,0.061284132,0.00729727,96.0,125.0,0.00729727
MIR4435-2HG,0.009054858,0.0017603072,-0.007294551,16.0,7.0,0.007294551
TRPM3,0.01125182,0.003972846,-0.007278974,14.0,5.0,0.007278974
CRTC3,0.07285262,0.06557945,-0.0072731674,117.0,158.0,0.0072731674
RNF146,0.18833321,0.19560447,0.00727126,310.0,457.0,0.00727126
ZBTB8B,0.0072660376,0.0,-0.0072660376,9.0,0.0,0.0072660376
ADPRHL1,0.0072646346,0.0,-0.0072646346,13.0,0.0,0.0072646346
CYP7B1,0.010463269,0.0032013673,-0.007261902,15.0,7.0,0.007261902
GJB2,0.054559678,0.061817013,0.007257335,94.0,213.0,0.007257335
NUMA1,0.25168782,0.25893912,0.0072512925,416.0,609.0,0.0072512925
BTBD9,0.014153745,0.021379566,0.007225821,22.0,38.0,0.007225821
ELOVL7,0.064982235,0.0721897,0.007207468,96.0,133.0,0.007207468
SLC25A40,0.044710353,0.051899735,0.007189382,67.0,124.0,0.007189382
CTTNBP2,0.024803478,0.031981256,0.0071777776,32.0,62.0,0.0071777776
CXCL2,0.12900528,0.13618122,0.0071759373,276.0,660.0,0.0071759373
ZNF616,0.058157504,0.05098436,-0.0071731433,84.0,134.0,0.0071731433
PPP4R1,0.074188694,0.08136148,0.0071727857,116.0,195.0,0.0071727857
SLC2A12,0.005835146,0.013007663,0.007172517,12.0,27.0,0.007172517
RB1-DT,0.0,0.007163882,0.007163882,0.0,23.0,0.007163882
LINC01637,0.03401328,0.04117614,0.0071628615,52.0,116.0,0.0071628615
TYRO3,0.10948444,0.102328286,-0.007156156,195.0,247.0,0.007156156
ADAMTS1,0.071414605,0.07856696,0.007152356,108.0,197.0,0.007152356
CYTOR,0.008750249,0.0015979008,-0.007152348,16.0,7.0,0.007152348
SFMBT1,0.044617206,0.051766,0.007148795,69.0,135.0,0.007148795
ACAP2,0.18591633,0.17878437,-0.007131964,310.0,483.0,0.007131964
BBS7,0.07195062,0.064831786,-0.007118836,121.0,170.0,0.007118836
LRRC8D,0.08371975,0.090834945,0.0071151927,130.0,204.0,0.0071151927
GUCA2A,0.020382995,0.027496547,0.0071135517,29.0,70.0,0.0071135517
CCL20,0.051188223,0.058296584,0.0071083605,212.0,622.0,0.0071083605
LATS1,0.09246203,0.09956892,0.0071068853,144.0,231.0,0.0071068853
B4GALNT4,0.034650464,0.041739956,0.007089492,51.0,64.0,0.007089492
SNX33,0.039392985,0.046481524,0.0070885383,60.0,88.0,0.0070885383
RAB27A,0.035749983,0.042835057,0.0070850737,61.0,124.0,0.0070850737
P2RY11,0.039076496,0.03199225,-0.0070842467,64.0,80.0,0.0070842467
JUND,0.3120077,0.31908473,0.0070770383,633.0,1107.0,0.0070770383
TYW3,0.26292998,0.25586042,-0.007069558,463.0,764.0,0.007069558
VPS41,0.1082137,0.11526316,0.0070494562,169.0,288.0,0.0070494562
PSRC1,0.04005322,0.047102604,0.0070493855,65.0,124.0,0.0070493855
ANXA10,0.034173712,0.04121918,0.0070454665,65.0,80.0,0.0070454665
ACVR1C,0.07042519,0.07745879,0.0070336014,119.0,234.0,0.0070336014
KLHL24,0.16365477,0.17068833,0.0070335567,266.0,412.0,0.0070335567
SLC9B1,0.0101501,0.01717918,0.00702908,13.0,22.0,0.00702908
PRKX,0.044004105,0.05103225,0.007028144,74.0,108.0,0.007028144
LPP,0.45818403,0.46519288,0.0070088506,862.0,1348.0,0.0070088506
NUDT8,0.054420434,0.061424576,0.007004142,92.0,108.0,0.007004142
SEMA6D,0.021054054,0.014055683,-0.0069983704,36.0,47.0,0.0069983704
GHRL,0.028069565,0.021076508,-0.006993057,46.0,47.0,0.006993057
COPS7B,0.16922197,0.17620306,0.0069810897,279.0,432.0,0.0069810897
SLC6A20,0.12244197,0.12942275,0.0069807842,230.0,525.0,0.0069807842
TBC1D14,0.07496591,0.081945226,0.0069793165,129.0,190.0,0.0069793165
TRAPPC12-AS1,0.0076681287,0.0007032617,-0.006964867,10.0,3.0,0.006964867
CNOT9,0.13238315,0.1393407,0.006957546,218.0,369.0,0.006957546
APOA2,0.10614995,0.11308776,0.0069378093,187.0,208.0,0.0069378093
GSN,0.10719844,0.114133984,0.0069355443,176.0,259.0,0.0069355443
ILDR1,0.046083834,0.053009488,0.0069256537,72.0,138.0,0.0069256537
XKR6,0.008528534,0.0016036212,-0.0069249133,14.0,3.0,0.0069249133
AURKB,0.059559885,0.06648451,0.0069246255,98.0,153.0,0.0069246255
ITPKA,0.04992913,0.056850087,0.006920956,77.0,147.0,0.006920956
NFIA,0.2514793,0.2583978,0.00691849,448.0,869.0,0.00691849
PPP1R35,0.10123039,0.10814302,0.0069126263,169.0,229.0,0.0069126263
FOXQ1,0.04004175,0.046946708,0.0069049597,65.0,116.0,0.0069049597
TBC1D8B,0.050194614,0.043302294,-0.00689232,81.0,121.0,0.00689232
AKR1C1,0.039869554,0.032981113,-0.0068884417,69.0,105.0,0.0068884417
HECTD3,0.03705681,0.04394258,0.0068857707,60.0,119.0,0.0068857707
GABPA,0.054996405,0.061878655,0.0068822503,94.0,145.0,0.0068822503
HBB,0.025832962,0.03271425,0.006881289,40.0,68.0,0.006881289
SRGN,0.020008946,0.026886929,0.006877983,30.0,61.0,0.006877983
TINCR,0.010531941,0.0036722468,-0.0068596946,16.0,9.0,0.0068596946
DIAPH3,0.03476735,0.041626647,0.006859299,59.0,96.0,0.006859299
ZNF695,0.00884593,0.0019936617,-0.0068522682,16.0,4.0,0.0068522682
LINC00649,0.026867693,0.020020336,-0.0068473574,37.0,21.0,0.0068473574
FBXL22,0.021881916,0.015046042,-0.0068358732,34.0,37.0,0.0068358732
PDLIM7,0.055752333,0.06258611,0.006833773,87.0,142.0,0.006833773
SERAC1,0.027087454,0.020257302,-0.006830152,45.0,60.0,0.006830152
NRP2,0.017389959,0.0105608655,-0.006829093,22.0,19.0,0.006829093
SIRT1,0.048163418,0.041350745,-0.006812673,79.0,121.0,0.006812673
TCEANC,0.011483326,0.0046744095,-0.006808916,16.0,14.0,0.006808916
ENTPD2,0.04207193,0.048879296,0.0068073645,72.0,182.0,0.0068073645
RNF2,0.1486169,0.15542373,0.0068068355,249.0,404.0,0.0068068355
EDARADD,0.0068029603,0.0,-0.0068029603,9.0,0.0,0.0068029603
ABLIM1,0.08021597,0.08701563,0.0067996606,138.0,226.0,0.0067996606
ZNF445,0.04695695,0.040170167,-0.0067867823,74.0,101.0,0.0067867823
ESRP2,0.093949065,0.10073538,0.0067863166,151.0,281.0,0.0067863166
CDC25B,0.042071987,0.048853785,0.006781798,67.0,102.0,0.006781798
B3GALT5,0.006778743,0.0,-0.006778743,11.0,0.0,0.006778743
PANX1,0.032066602,0.038842287,0.0067756847,53.0,97.0,0.0067756847
POLE2,0.043497503,0.03673641,-0.0067610927,74.0,111.0,0.0067610927
RCOR1,0.07186952,0.07862323,0.0067537054,117.0,182.0,0.0067537054
MATN2,0.03173286,0.02498593,-0.006746931,47.0,66.0,0.006746931
TICRR,0.0067394315,0.0,-0.0067394315,11.0,0.0,0.0067394315
GPR161,0.02589978,0.03263626,0.006736478,36.0,73.0,0.006736478
AMPH,0.008630341,0.0018950622,-0.0067352788,13.0,3.0,0.0067352788
AKAP13,0.16199583,0.15526643,-0.006729394,282.0,413.0,0.006729394
PDP1,0.108018026,0.114729084,0.0067110583,175.0,316.0,0.0067110583
IKZF2,0.007182212,0.00049938814,-0.006682824,8.0,1.0,0.006682824
HTRA1,0.041854132,0.048536345,0.0066822134,62.0,114.0,0.0066822134
GLIS3,0.021959122,0.015278742,-0.0066803806,35.0,38.0,0.0066803806
RIMS2,0.017363476,0.010690769,-0.0066727065,30.0,26.0,0.0066727065
ASB1,0.060935404,0.05426433,-0.006671075,97.0,123.0,0.006671075
TNFRSF11A,0.11210076,0.118769564,0.006668806,182.0,295.0,0.006668806
RASIP1,0.015626045,0.022291495,0.0066654496,23.0,37.0,0.0066654496
TRPV6,0.0068706004,0.00020529468,-0.0066653057,7.0,1.0,0.0066653057
HOXB2,0.010831306,0.004180879,-0.006650427,23.0,10.0,0.006650427
UEVLD,0.044815067,0.051450804,0.0066357367,72.0,130.0,0.0066357367
ZNF624,0.012584557,0.01921544,0.0066308836,16.0,25.0,0.0066308836
CYB561D1,0.008400825,0.0017787172,-0.0066221077,14.0,4.0,0.0066221077
SGO2,0.03614569,0.042756934,0.006611243,60.0,102.0,0.006611243
ERAP2,0.054080427,0.06068056,0.006600134,85.0,213.0,0.006600134
ACKR4,0.0075055286,0.0009098476,-0.006595681,14.0,3.0,0.006595681
GRK4,0.010328054,0.003750832,-0.0065772226,17.0,7.0,0.0065772226
PRKG2,0.041452657,0.047993023,0.0065403655,60.0,83.0,0.0065403655
SIMC1,0.046839163,0.04030263,-0.006536532,67.0,72.0,0.006536532
PPIP5K1,0.030156268,0.023621088,-0.00653518,45.0,60.0,0.00653518
ZNF398,0.016821686,0.023351626,0.0065299403,28.0,58.0,0.0065299403
THY1,0.015604125,0.022125747,0.0065216217,26.0,70.0,0.0065216217
ELL2,0.0867492,0.09327067,0.0065214634,139.0,225.0,0.0065214634
CDC45,0.036253646,0.042750254,0.0064966083,61.0,95.0,0.0064966083
NNAT,0.057960514,0.06445638,0.006495867,92.0,150.0,0.006495867
HLA-DRB1,0.16761221,0.17410746,0.0064952523,278.0,234.0,0.0064952523
GPRASP1,0.0064876084,0.0,-0.0064876084,9.0,0.0,0.0064876084
RPGRIP1L,0.05883262,0.0653176,0.0064849816,94.0,149.0,0.0064849816
TDRD7,0.026818505,0.033302937,0.006484432,43.0,92.0,0.006484432
FXYD2,0.010451468,0.003981433,-0.006470035,15.0,9.0,0.006470035
IPMK,0.050055962,0.043592356,-0.006463606,86.0,117.0,0.006463606
NANOG,0.007867717,0.0014047107,-0.0064630066,13.0,4.0,0.0064630066
HHLA2,0.046647403,0.05310962,0.0064622164,77.0,128.0,0.0064622164
GIT1,0.052587852,0.059038125,0.006450273,88.0,132.0,0.006450273
NOL4,0.056039885,0.06249014,0.0064502545,96.0,128.0,0.0064502545
MUC12,0.032249603,0.03868472,0.006435115,47.0,116.0,0.006435115
PDE11A,0.029901015,0.036332726,0.006431712,47.0,54.0,0.006431712
EID3,0.0064286576,0.0,-0.0064286576,12.0,0.0,0.0064286576
WFDC2,0.02789379,0.034319915,0.0064261258,36.0,59.0,0.0064261258
NAGPA,0.090688355,0.084273934,-0.006414421,141.0,152.0,0.006414421
LCA5L,0.012585034,0.00617627,-0.0064087636,19.0,11.0,0.0064087636
RFX6,0.049413946,0.055813175,0.006399229,75.0,84.0,0.006399229
PRELID3A,0.036666293,0.043056343,0.00639005,60.0,96.0,0.00639005
FGFR2,0.080820724,0.07443713,-0.006383598,132.0,189.0,0.006383598
CHKB-DT,0.01638399,0.010001152,-0.006382839,25.0,34.0,0.006382839
GPR162,0.006377036,0.0,-0.006377036,6.0,0.0,0.006377036
PJVK,0.020948807,0.014572004,-0.006376803,27.0,38.0,0.006376803
ATF2,0.08736733,0.093732454,0.0063651204,140.0,231.0,0.0063651204
HDAC11,0.075158715,0.08151678,0.0063580647,110.0,216.0,0.0063580647
FBXO48,0.02395896,0.030316478,0.006357517,36.0,91.0,0.006357517
LUM,0.13365918,0.12731318,-0.006346002,223.0,477.0,0.006346002
GUCY1A2,0.034788694,0.04112906,0.006340366,50.0,56.0,0.006340366
MAP3K10,0.010554045,0.0042293407,-0.0063247047,16.0,8.0,0.0063247047
GABRA2,0.011870075,0.005552681,-0.006317394,19.0,16.0,0.006317394
DLGAP1,0.00869357,0.0023845693,-0.006309001,13.0,2.0,0.006309001
ERLIN2,0.1429352,0.1366301,-0.0063050985,245.0,383.0,0.0063050985
SLC17A9,0.047229964,0.0535311,0.006301135,79.0,161.0,0.006301135
NR2C1,0.09173668,0.08544676,-0.0062899217,153.0,216.0,0.0062899217
HOXB4,0.006280527,0.0,-0.006280527,9.0,0.0,0.006280527
CCM2,0.080102764,0.08638309,0.0062803254,129.0,209.0,0.0062803254
CARMN,0.0093568405,0.0030817436,-0.006275097,14.0,5.0,0.006275097
NCBP1,0.07611632,0.069847465,-0.006268859,129.0,209.0,0.006268859
GRHL2,0.07101101,0.07727429,0.006263286,103.0,156.0,0.006263286
PCDH9,0.012200699,0.005949116,-0.0062515833,13.0,12.0,0.0062515833
STK40,0.044982042,0.051229253,0.0062472112,75.0,134.0,0.0062472112
BTNL8,0.069544345,0.075785905,0.00624156,117.0,275.0,0.00624156
POLR3F,0.045743182,0.05198033,0.0062371492,72.0,147.0,0.0062371492
CASQ1,0.0062209163,0.0,-0.0062209163,15.0,0.0,0.0062209163
ODAM,0.034424085,0.04064204,0.0062179565,55.0,128.0,0.0062179565
AQP3,0.10768581,0.11389604,0.0062102303,177.0,241.0,0.0062102303
C16orf74,0.0062087644,0.0,-0.0062087644,12.0,0.0,0.0062087644
SLITRK4,0.0383939,0.044599425,0.0062055252,56.0,126.0,0.0062055252
FYB2,0.018058198,0.024249714,0.0061915163,27.0,56.0,0.0061915163
OIP5,0.0399224,0.04611068,0.006188277,73.0,124.0,0.006188277
NFIB,0.075921185,0.082102746,0.0061815605,133.0,245.0,0.0061815605
USP30,0.07713668,0.08331325,0.0061765686,116.0,185.0,0.0061765686
CELF3,0.035371087,0.04154486,0.006173771,54.0,81.0,0.006173771
ENDOG,0.037029084,0.04319591,0.006166827,65.0,102.0,0.006166827
P3H4,0.12908567,0.12292521,-0.006160468,197.0,213.0,0.006160468
PTK2B,0.0645314,0.05837615,-0.0061552525,103.0,139.0,0.0061552525
PABPC4L,0.0061467527,0.0,-0.0061467527,10.0,0.0,0.0061467527
SRY,0.030945603,0.037089106,0.006143503,49.0,65.0,0.006143503
ZIM2-AS1,0.006139508,0.0,-0.006139508,10.0,0.0,0.006139508
FZD6,0.02770876,0.021581296,-0.0061274637,45.0,68.0,0.0061274637
DLGAP5,0.027521478,0.033646848,0.00612537,41.0,60.0,0.00612537
CNGA1,0.03495779,0.041078176,0.0061203875,60.0,130.0,0.0061203875
FHOD1,0.028232068,0.034351524,0.006119456,43.0,91.0,0.006119456
PLS3,0.14293054,0.14904766,0.0061171204,244.0,484.0,0.0061171204
TOP2A,0.088701405,0.094815955,0.00611455,178.0,273.0,0.00611455
PYGL,0.009800205,0.0036955962,-0.006104609,15.0,4.0,0.006104609
PYDC1,0.016901083,0.022995275,0.006094191,24.0,79.0,0.006094191
EVI5L,0.011777689,0.005688087,-0.0060896017,13.0,13.0,0.0060896017
EPHB6,0.0065381117,0.0004509125,-0.0060871993,11.0,1.0,0.0060871993
DTNA,0.010562755,0.0044877585,-0.0060749967,16.0,12.0,0.0060749967
C11orf24,0.06238678,0.06845572,0.0060689375,97.0,186.0,0.0060689375
PLEKHA7,0.06036602,0.054301478,-0.0060645416,104.0,118.0,0.0060645416
ASB16-AS1,0.044833466,0.050876245,0.0060427785,73.0,117.0,0.0060427785
GAS2L3,0.029754374,0.035794538,0.0060401633,46.0,96.0,0.0060401633
BMP5,0.026084194,0.032121886,0.0060376916,43.0,64.0,0.0060376916
FANCI,0.05037809,0.05640496,0.006026868,84.0,134.0,0.006026868
ACVR2B,0.049802896,0.055818018,0.006015122,73.0,101.0,0.006015122
HDGFL2,0.15087736,0.15688795,0.006010592,259.0,402.0,0.006010592
INPP5J,0.025416922,0.03142428,0.0060073584,41.0,79.0,0.0060073584
HAUS8,0.039604757,0.045607697,0.0060029402,64.0,117.0,0.0060029402
EMB,0.076572806,0.082557246,0.0059844404,118.0,234.0,0.0059844404
KLHL35,0.014200907,0.008221673,-0.0059792344,20.0,11.0,0.0059792344
SYTL2,0.033558354,0.02758023,-0.005978124,56.0,68.0,0.005978124
RAMP2-AS1,0.0136266155,0.007651405,-0.0059752106,23.0,22.0,0.0059752106
NORAD,0.3648187,0.37075102,0.005932331,662.0,1020.0,0.005932331
GBF1,0.074412145,0.080340974,0.0059288293,118.0,199.0,0.0059288293
LAP3,0.3376815,0.34360686,0.0059253573,602.0,938.0,0.0059253573
TASP1,0.10057918,0.10650168,0.005922504,172.0,278.0,0.005922504
ABHD18,0.070570976,0.0646567,-0.0059142783,107.0,149.0,0.0059142783
DOLPP1,0.09407876,0.09998069,0.0059019327,158.0,247.0,0.0059019327
TENM3,0.035796784,0.029904544,-0.0058922395,59.0,67.0,0.0058922395
CSRNP2,0.035239246,0.02934962,-0.005889626,50.0,69.0,0.005889626
POLK,0.10467711,0.098787524,-0.005889587,168.0,257.0,0.005889587
DCAF4,0.08191115,0.08778881,0.005877666,131.0,255.0,0.005877666
ARHGAP1,0.075514086,0.08139035,0.0058762655,114.0,213.0,0.0058762655
GBP1,0.035877094,0.03000104,-0.005876053,57.0,102.0,0.005876053
MTFP1,0.07218805,0.06632037,-0.0058676824,119.0,160.0,0.0058676824
SYT7,0.003282905,0.0091443965,0.0058614914,6.0,36.0,0.0058614914
PIM1,0.06919437,0.075054966,0.005860597,117.0,181.0,0.005860597
MXD4,0.11764049,0.12349687,0.00585638,185.0,243.0,0.00585638
SDCBP2,0.03164233,0.037481535,0.0058392063,54.0,121.0,0.0058392063
DNAAF5,0.05967602,0.06551462,0.0058385953,92.0,142.0,0.0058385953
SLC6A19,0.060100157,0.06593642,0.0058362596,110.0,239.0,0.0058362596
SLC27A6,0.048277058,0.05411183,0.005834773,74.0,151.0,0.005834773
ATOH1,0.039287228,0.045120373,0.005833145,71.0,82.0,0.005833145
CNTNAP3B,0.0061288206,0.0003040742,-0.0058247466,9.0,1.0,0.0058247466
LARP4,0.111490175,0.1173115,0.005821325,181.0,297.0,0.005821325
C17orf80,0.06295165,0.068762235,0.0058105886,96.0,154.0,0.0058105886
RFX3,0.06898091,0.07479006,0.0058091506,112.0,184.0,0.0058091506
HMGCR,0.10778668,0.113589115,0.0058024377,175.0,297.0,0.0058024377
ASIC2,0.020567145,0.014771292,-0.005795853,30.0,33.0,0.005795853
VCPIP1,0.05492846,0.060721725,0.005793266,87.0,174.0,0.005793266
SNX21,0.01954778,0.01375643,-0.0057913493,34.0,30.0,0.0057913493
VEGFA,0.2112668,0.21705,0.0057832003,373.0,663.0,0.0057832003
RIIAD1,0.0262404,0.032010656,0.0057702567,44.0,66.0,0.0057702567
CELSR2,0.019181008,0.024949538,0.00576853,28.0,64.0,0.00576853
ARL14,0.050177123,0.05594314,0.0057660155,82.0,202.0,0.0057660155
RHPN2,0.08543763,0.09120271,0.0057650805,145.0,231.0,0.0057650805
RBM48,0.076616,0.0823746,0.005758606,122.0,195.0,0.005758606
CPEB4,0.05450204,0.060257357,0.0057553165,85.0,142.0,0.0057553165
LCT,0.023038678,0.028791182,0.005752504,35.0,95.0,0.005752504
TCEAL1,0.15354124,0.15929171,0.0057504773,265.0,463.0,0.0057504773
SYNPO,0.026099779,0.020354046,-0.005745733,38.0,62.0,0.005745733
B3GNT7,0.051503543,0.04576284,-0.005740702,78.0,134.0,0.005740702
FOXJ1,0.032938022,0.038666908,0.0057288855,54.0,83.0,0.0057288855
COQ10A,0.029590534,0.035319366,0.0057288315,45.0,59.0,0.0057288315
FAM91A1,0.08980664,0.08408067,-0.0057259724,146.0,212.0,0.0057259724
NKAPL,0.01874039,0.024457846,0.0057174563,23.0,66.0,0.0057174563
WDR7,0.010418094,0.0047050687,-0.005713025,16.0,17.0,0.005713025
BMF,0.012664406,0.01837651,0.005712105,21.0,42.0,0.005712105
BTBD1,0.09099134,0.0852897,-0.0057016388,151.0,231.0,0.0057016388
ZFP42,0.021442497,0.027143732,0.0057012346,30.0,33.0,0.0057012346
INAFM1,0.043567717,0.049259126,0.005691409,66.0,98.0,0.005691409
FAM162B,0.04016273,0.04584961,0.005686879,69.0,66.0,0.005686879
TTPAL,0.038500372,0.044150356,0.005649984,61.0,112.0,0.005649984
RANBP9,0.061689056,0.0673337,0.005644642,92.0,156.0,0.005644642
ANKS1A,0.044709757,0.050351836,0.005642079,68.0,117.0,0.005642079
AADAC,0.44751966,0.44188833,-0.0056313276,1133.0,2261.0,0.0056313276
SPACA9,0.02648537,0.020854993,-0.0056303777,42.0,54.0,0.0056303777
EFEMP1,0.022176672,0.02780469,0.0056280177,35.0,53.0,0.0056280177
HECTD4,0.040073406,0.0344523,-0.0056211054,67.0,86.0,0.0056211054
PWRN1,0.008755831,0.003134741,-0.00562109,13.0,8.0,0.00562109
SLC22A23,0.02702458,0.032642562,0.005617982,49.0,99.0,0.005617982
STK38L,0.08335819,0.0777405,-0.005617693,127.0,159.0,0.005617693
PMAIP1,0.37389797,0.3795156,0.0056176186,805.0,1612.0,0.0056176186
COL5A2,0.028957983,0.034569606,0.0056116227,46.0,92.0,0.0056116227
SERP2,0.034509726,0.040117573,0.005607847,55.0,105.0,0.005607847
NKAPD1,0.1673119,0.17291664,0.005604729,289.0,512.0,0.005604729
NRDE2,0.13819459,0.13259216,-0.0056024343,219.0,369.0,0.0056024343
GAN,0.052144844,0.05773331,0.0055884644,83.0,142.0,0.0055884644
WDFY3,0.0663065,0.060727928,-0.005578574,104.0,133.0,0.005578574
NBPF3,0.008698075,0.0031203963,-0.005577679,13.0,4.0,0.005577679
FAM216A,0.032115087,0.037690837,0.00557575,45.0,61.0,0.00557575
HIF1AN,0.10213779,0.10770914,0.0055713505,156.0,281.0,0.0055713505
TMEM9B-AS1,0.012586086,0.007018152,-0.005567934,20.0,3.0,0.005567934
S100A4,0.034088526,0.039655328,0.005566802,56.0,110.0,0.005566802
RAPGEF2,0.05221948,0.046663214,-0.0055562668,78.0,107.0,0.0055562668
CTNS,0.021609018,0.027164139,0.005555121,37.0,83.0,0.005555121
IGFBP5,0.02164094,0.027183674,0.0055427346,37.0,138.0,0.0055427346
KCNK6,0.06545292,0.0709886,0.0055356845,106.0,275.0,0.0055356845
RIBC1,0.016194105,0.021729292,0.005535187,28.0,48.0,0.005535187
RENBP,0.0185498,0.024081724,0.005531924,31.0,77.0,0.005531924
EDN3,0.011506248,0.017034119,0.0055278707,19.0,47.0,0.0055278707
FIGN,0.0055262824,0.0,-0.0055262824,10.0,0.0,0.0055262824
ADGRG5,0.0070146103,0.0014932764,-0.005521334,12.0,4.0,0.005521334
CTSE,0.015714385,0.021231031,0.0055166464,25.0,46.0,0.0055166464
MGAM,0.0055163815,0.0,-0.0055163815,9.0,0.0,0.0055163815
BRIP1,0.021291004,0.015784243,-0.0055067614,31.0,47.0,0.0055067614
FNDC1,0.008520402,0.014023425,0.005503023,14.0,45.0,0.005503023
CRNDE,0.0088484995,0.003347895,-0.0055006044,12.0,3.0,0.0055006044
NR4A2,0.03640282,0.041890603,0.005487781,62.0,151.0,0.005487781
PRODH,0.006661456,0.0011770517,-0.0054844045,12.0,4.0,0.0054844045
AZIN1,0.322814,0.3282949,0.0054809153,603.0,1083.0,0.0054809153
EVI5,0.17574403,0.17026348,-0.005480543,300.0,414.0,0.005480543
