gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
PTPN2,0.37900114,0.3187945,-0.06020665,679.0,811.0,0.06020665
CPVL,0.26991588,0.33007565,0.060159773,493.0,1156.0,0.060159773
SEC63,0.3967395,0.45688918,0.06014967,742.0,1359.0,0.06014967
ARMC8,0.16435207,0.10420651,-0.060145564,272.0,251.0,0.060145564
UFSP2,0.19685182,0.25697994,0.060128123,315.0,690.0,0.060128123
DNAJB1,0.8779941,0.9380857,0.060091555,3807.0,9318.0,0.060091555
TMEM161A,0.26639247,0.32646874,0.060076267,439.0,936.0,0.060076267
CHPT1,0.35502324,0.29511452,-0.059908718,636.0,647.0,0.059908718
CLCC1,0.082080476,0.022179471,-0.059901007,139.0,65.0,0.059901007
EMC3,0.24616382,0.30606467,0.05990085,420.0,950.0,0.05990085
ZNF550,0.062303912,0.00255379,-0.05975012,104.0,6.0,0.05975012
CFLAR,0.28025323,0.22052783,-0.059725404,471.0,575.0,0.059725404
WDR74,0.41287926,0.47243437,0.059555113,740.0,1545.0,0.059555113
CTR9,0.19098791,0.13150312,-0.059484795,322.0,358.0,0.059484795
GDF11,0.0679289,0.008597453,-0.05933145,109.0,24.0,0.05933145
TBC1D10A,0.06032739,0.0009964021,-0.059330985,98.0,2.0,0.059330985
PHIP,0.515541,0.5748692,0.0593282,987.0,1941.0,0.0593282
BRD8,0.19112687,0.13182214,-0.05930473,309.0,344.0,0.05930473
PDIA4,0.89002013,0.94918305,0.059162915,2222.0,4175.0,0.059162915
ARFGEF1,0.09673969,0.03785575,-0.058883935,153.0,91.0,0.058883935
CHMP4C,0.34233302,0.40104446,0.05871144,600.0,1146.0,0.05871144
BCAR1,0.06178923,0.0031431802,-0.05864605,96.0,1.0,0.05864605
GLB1L2,0.064902864,0.00626936,-0.058633506,110.0,15.0,0.058633506
SCRIB,0.058431063,0.0,-0.058431063,88.0,0.0,0.058431063
ZNF703,0.32377985,0.38220975,0.058429897,625.0,995.0,0.058429897
BST1,0.07006079,0.011660259,-0.05840053,110.0,27.0,0.05840053
EHMT1,0.13687743,0.07858076,-0.058296673,212.0,192.0,0.058296673
SSPN,0.05868737,0.0004308484,-0.05825652,98.0,2.0,0.05825652
GSTO2,0.38989303,0.44812796,0.05823493,712.0,1477.0,0.05823493
SSH2,0.10241333,0.04428155,-0.058131777,170.0,138.0,0.058131777
SUPT16H,0.43069342,0.4887744,0.05808097,794.0,1401.0,0.05808097
C3orf38,0.12987548,0.07179933,-0.05807615,214.0,190.0,0.05807615
