,group,names,scores,logfoldchanges,pvals,pvals_adj
130,1,ENSG00000288873,14.3197565,6.0558476,1.6469930066398496e-46,1.0138053853829293e-44
131,1,ENSG00000273175,14.290682,6.9409413,2.501477443520028e-46,1.5247499329372287e-44
132,1,ENSG00000257553,14.256397,7.7267513,4.09031872342243e-46,2.452171323572756e-44
133,1,ENSG00000293022,14.204182,8.021822,8.630501667845771e-46,5.097127633669346e-44
134,1,ENSG00000280160,14.189496,7.548971,1.064201771879109e-45,6.251327182554378e-44
135,1,LRRC75A,14.003659,3.12745,1.480468282075594e-44,8.348694941913775e-43
136,1,ZNF593OS,13.984241,7.8204765,1.9454152565116724e-44,1.0900311329562324e-42
137,1,ZNF771,13.953473,7.323149,2.996488459745004e-44,1.6682615496139575e-42
138,1,TALAM1,13.717795,4.8431273,7.944410132484069e-43,4.158113777605794e-41
139,1,ENSG00000267598,13.687127,7.1568933,1.2120776596700644e-42,6.306266909311964e-41
140,1,PYCARD-AS1,13.564879,4.5524,6.468611173932483e-42,3.2272166980085075e-40
141,1,ENSG00000287387,13.41119,7.411264,5.199752396451892e-41,2.5027530697635844e-39
142,1,LBHD1,13.380086,7.5094256,7.905587691014337e-41,3.7967670818471496e-39
143,1,ZNF575,13.311451,6.024447,1.9858699141075835e-40,9.332307389909445e-39
144,1,VIM,13.103853,2.749525,3.1295588701222594e-39,1.4100437202043632e-37
145,1,SNX22,12.989412,6.3395424,1.405012343525771e-38,6.116001938391464e-37
146,1,DNAJC17,12.89499,3.903025,4.803235861319397e-38,2.0360874886818906e-36
147,1,WDR83,12.889493,3.5854135,5.15820632030853e-38,2.1823257407818393e-36
148,1,LIMASI,12.781757,7.678115,2.0733092887221778e-37,8.524168311788717e-36
149,1,SMIM15-AS1,12.7812395,7.6095257,2.087157903944763e-37,8.564990519624593e-36
150,1,EGILA,12.726698,7.5702753,4.202368375903524e-37,1.7100587290548197e-35
151,1,ENSG00000279756,12.69902,7.5533056,5.9874121637654655e-37,2.4117406562691787e-35
152,1,ABHD14A,12.6922655,4.6576,6.526979279558939e-37,2.624241972712455e-35
153,1,TPM1-AS,12.672469,6.9127393,8.402712724029085e-37,3.3629318396608714e-35
154,1,CCDC152,12.665237,4.8959017,9.214102660344958e-37,3.680924521642742e-35
155,1,ATP1A1-AS1,12.597202,6.1340675,2.187668078538645e-36,8.567190475309402e-35
156,1,ENSG00000285728,12.529036,7.270073,5.178830888745009e-36,2.0136621455668314e-34
157,1,ENSG00000279504,12.509766,7.776135,6.601897845998335e-36,2.5533570217832853e-34
158,1,TSIX,12.466581,6.1259146,1.1359643441746023e-35,4.343498311269188e-34
159,1,CTSZ,12.401957,5.8395157,2.5502061512987146e-35,9.649715120031084e-34
160,1,YIF1B,12.354893,4.1666937,4.5836558735098337e-35,1.722477182251709e-33
161,1,ENSG00000286037,12.348697,7.3200545,4.95068755021113e-35,1.857209001668903e-33
162,1,SRRM5,12.317387,7.155571,7.302211724613681e-35,2.7230022287757363e-33
163,1,ENSG00000280486,12.294837,7.622602,9.655078699341024e-35,3.569928591167514e-33
164,1,PRR19,12.087059,6.2943106,1.2363353886539704e-33,4.4471441831879116e-32
165,1,TYW1,12.059011,3.4467645,1.7385647240712795e-33,6.212774546264204e-32
166,1,ENSG00000254873,12.007355,7.1736484,3.250774662802758e-33,1.1503793997014716e-31
167,1,ENSG00000286161,11.997953,7.677837,3.641897116552783e-33,1.2867055099581475e-31
168,1,EPC1-AS2,11.951777,7.3991723,6.355094741622584e-33,2.2362565264724107e-31
169,1,VIM-AS1,11.922999,5.8264155,8.981591648892408e-33,3.147806587194818e-31
170,1,ENSG00000280064,11.823679,6.2995453,2.94498512992223e-32,1.015845541579488e-30
171,1,CERS6-AS1,11.809208,7.33482,3.49842667010513e-32,1.202952314636307e-30
172,1,ENSG00000265401,11.798171,7.1981416,3.9888644088957344e-32,1.3683620889040751e-30
173,1,ATP6V1C2,11.749711,5.4556274,7.086087718261375e-32,2.4100418493299232e-30
174,1,ENSG00000245156,11.691768,7.143726,1.4043353032205803e-31,4.739387651888204e-30
175,1,CENPO,11.626223,4.6447263,3.032220798009809e-31,1.0123772173890046e-29
176,1,RHOXF1P3,11.4994955,7.577345,1.3268817651047625e-30,4.321165474078878e-29
177,1,PRADX,11.401433,7.344618,4.1129247984954514e-30,1.313011434575933e-28
178,1,ENSG00000284526,11.258353,6.013382,2.106583360779651e-29,6.548088136523035e-28
179,1,DCAF6,11.230553,3.4907374,2.88667819370041e-29,8.915857510776165e-28
180,1,ENSG00000261312,11.210641,7.1596994,3.6156616186628163e-29,1.1120258647574927e-27
181,1,ENSG00000262831,11.117895,7.3314953,1.0266580262836917e-28,3.1051254242700664e-27
182,1,ENSG00000279069,11.046811,5.0302773,2.271404936053753e-28,6.799279542828302e-27
183,1,ENSG00000228830,10.983806,7.3515167,4.572478426109879e-28,1.3447886751999066e-26
184,1,PLBD1-AS1,10.898184,6.238214,1.175801613547013e-27,3.407641493266489e-26
185,1,ENSG00000285677,10.87607,7.2719736,1.4988631696970384e-27,4.338166620426448e-26
186,1,ENSG00000275719,10.637886,5.3379703,1.985836027289398e-26,5.56339600875999e-25
187,1,C1orf54,10.609995,4.7372537,2.677636948483394e-26,7.4206369813898705e-25
188,1,MFF-DT,10.60845,6.851709,2.722276441365747e-26,7.534792247843483e-25
189,1,MADCAM1-AS1,10.541228,6.977843,5.57656169345857e-26,1.5280128667768863e-24
190,1,ENSG00000267984,10.43296,7.3033786,1.7534088270680924e-25,4.74495228347888e-24
191,1,SZT2,10.416697,4.6220617,2.0805519628273494e-25,5.609404255608049e-24
192,1,ENSG00000253102,10.364809,7.131396,3.584733396280766e-25,9.599705168569522e-24
193,1,GOLGA4-AS1,10.342309,6.0258746,4.534780028922666e-25,1.2077271565145411e-23
194,1,MYL5,10.298401,2.546719,7.164202815315103e-25,1.8907265690853336e-23
195,1,EEF1A1,10.27909,-0.19126615,8.755078658209643e-25,2.3008536240432606e-23
196,1,MARS1,10.234467,3.478275,1.3895834719023925e-24,3.6235295976146875e-23
197,1,ENSG00000289124,10.181167,6.764903,2.406592753885745e-24,6.219853915778984e-23
198,1,ENSG00000278713,10.1191225,7.178564,4.544735225089255e-24,1.1608597795283506e-22
199,1,TUBA1B-AS1,10.071813,6.1743164,7.360900055011656e-24,1.8638515411600778e-22
200,2,MDK,20.037233,5.384162,2.608655784022304e-89,1.1400869238491075e-84
201,2,H3-3B,19.612383,2.215001,1.2121887114139119e-85,2.64887477218168e-81
202,2,RBP1,17.252094,4.1078005,1.0791737735472614e-66,7.860701766518252e-63
203,2,MARCKSL1,16.329817,2.520945,6.056585368640295e-60,2.6469700695105545e-56
204,2,CD24,15.987484,3.551193,1.562136348832315e-57,5.689300582447291e-54
205,2,SRP14,15.254176,1.6411496,1.5443187889728652e-52,3.970171079604124e-49
206,2,SOX4,14.730694,3.591802,4.094796839514781e-49,8.134500048825183e-46
207,2,BEX3,13.662527,1.9009156,1.6998148786566844e-42,2.3964099824777978e-39
208,2,EID1,13.378674,2.3452685,8.057210322939889e-41,1.0670676362235301e-37
209,2,ZNF428,13.264551,3.4513648,3.716410630175824e-40,4.640628862320121e-37
210,2,BTG1,13.0696,2.3981817,4.9123360840158197e-39,5.5048393901494206e-36
211,2,WFDC2,12.883122,6.728147,5.602243410597755e-38,5.971718195530836e-35
212,2,TMSB10,12.622818,1.2297808,1.580627424698574e-36,1.6065056039308484e-33
213,2,PPDPF,12.373115,1.7236197,3.65374313551848e-35,3.326733124889576e-32
214,2,JUN,11.305548,1.809621,1.23183575393989e-29,8.411898404717024e-27
215,2,HMGN1,10.920046,1.2199657,9.244931602301217e-28,5.8556592861880055e-25
216,2,EIF1B,10.705456,2.430005,9.59573043570883e-27,5.906645112143925e-24
