,group,names,scores,logfoldchanges,pvals,pvals_adj
211,Activated T,RAC2,32.821503,6.283616,2.905947054852671e-236,6.684290004488481e-233
212,Activated T,ACTB,32.113007,1.5516313,2.902764144020748e-226,6.041066864299179e-223
213,Activated T,EVL,32.055195,5.235903,1.858262916372219e-225,3.691523749869612e-222
214,Activated T,LAPTM5,31.627686,6.055757,1.537368818347498e-219,2.687566673482362e-216
215,Activated T,LCK,31.022375,7.2716575,2.69137222605035e-211,4.2008475631180175e-208
216,Activated T,SH3BGRL3,30.936308,3.1168592,3.8827227314440224e-210,5.851397043276881e-207
217,Activated T,RPLP1,30.420479,0.044799358,2.944803959772002e-203,4.2899904085958525e-200
218,Activated T,CORO1A,30.015432,6.056494,6.172879562941812e-198,8.702565432864804e-195
219,Activated T,HCST,29.930605,6.321586,7.868908873767177e-197,1.0746962294347522e-193
220,Activated T,CD3G,29.732697,7.538536,2.9030018049661003e-194,3.844630026795105e-191
221,Activated T,SRGN,29.658613,5.9302244,2.6262347100091784e-193,3.2793417647497467e-190
222,Activated T,TPT1,28.990164,0.9551756,8.753920492136992e-185,9.331252224106222e-182
223,Activated T,HLA-C-4,28.241814,5.1111784,1.794096417465472e-175,1.7424264406424665e-172
224,Activated T,LCP1,27.819973,5.924283,2.4872469243502474e-170,2.363100860473983e-167
225,Activated T,GIMAP7,27.086367,5.8993287,1.4252791201160414e-161,1.2977166388656556e-158
226,Activated T,PLAAT4,26.55699,5.0309467,2.132621956602877e-155,1.8640821998274425e-152
227,Activated T,FYB1,26.233116,6.0019565,1.1139187767926114e-151,9.362058888643131e-149
228,Activated T,PTPRC,25.266136,5.5002637,7.529678354420229e-141,5.673742462096236e-138
229,Activated T,MYL12A,24.762476,2.0704255,2.2753908784454442e-135,1.5784711579615825e-132
230,Activated T,LINC01871,24.591133,7.217113,1.5715809766473449e-133,1.0406723485362965e-130
231,Activated T,ANXA1,24.583796,5.2148075,1.8828613792885745e-133,1.2281876674690727e-130
232,Activated T,S100A4,24.440788,5.0802608,6.305834561686084e-132,4.0527969659401266e-129
233,Activated T,RGS1,24.374962,5.509343,3.1525907119460576e-131,1.9968235431143552e-128
234,Activated T,COTL1,24.324192,3.7582433,1.0875664992708435e-130,6.790143754876135e-128
235,Activated T,CYTIP,24.274788,5.841324,3.6200461190596865e-130,2.228316839258937e-127
236,Activated T,DDX5,23.82275,1.6630936,1.941076157322788e-125,1.1620930462963716e-122
237,Activated T,RPL28,23.54707,0.3509434,1.3451889247271848e-122,7.53719702131755e-120
238,Activated T,CD37,23.51279,5.0646977,3.017920213606882e-122,1.6695593039933565e-119
239,Activated T,BTG1,23.327288,1.9009585,2.3438480159934446e-120,1.2492138254997257e-117
240,Activated T,RPLP2,23.179966,-0.008104519,7.251908901784432e-119,3.728675607571609e-116
241,Activated T,IL7R,22.507303,6.1079226,3.5204635535819838e-112,1.6907509796235934e-109
242,Activated T,XCL1,21.935486,7.4812417,1.1915639973871098e-106,5.4816960991375004e-104
243,Activated T,CD48,21.654602,4.92701,5.500492548857354e-104,2.4529951668904263e-101
244,Activated T,DUSP1,21.473305,2.9654667,2.766318053333144e-102,1.1737782932317643e-99
245,Activated T,HOPX,21.122826,5.226495,4.907031878069714e-99,1.9857122333255444e-96
246,Activated T,STK17B,20.932785,4.6289206,2.692982906825149e-97,1.0603074320710478e-94
247,Activated T,GZMA,20.466055,6.3735723,4.322229799956518e-93,1.574156093144164e-90
248,Activated T,CD2,20.331507,6.0956125,6.769249835873761e-92,2.4449859076613794e-89
249,Activated T,CD53,19.718683,4.432015,1.4905979968002162e-86,5.12953502772887e-84
250,Activated T,TBC1D10C,19.506813,5.3056574,9.608889118663284e-85,3.2554022483880636e-82
251,Activated T,GZMM,18.944092,5.8628855,4.940416334632458e-80,1.5099017866348038e-77
252,Activated T,ZFP36,18.841732,2.8699093,3.4353788264759494e-79,1.0144580826507087e-76
253,Activated T,ARPC1B,18.794777,3.199503,8.333100292018637e-79,2.42793210108255e-76
254,Activated T,RPL13,18.629744,-0.2069965,1.8440780082760165e-77,5.267554593051963e-75
255,Activated T,UBA52,18.341646,-0.06342119,3.849604392993613e-75,1.0321663214195881e-72
256,Activated T,JUN,18.19411,1.622375,5.7463760182315305e-74,1.4860332396496498e-71
257,Activated T,GIMAP4,18.17539,4.354258,8.085239634417645e-74,2.066417034985899e-71
258,Activated T,SEPTIN1,18.153618,4.3278437,1.2021634677051133e-73,3.0546134995688534e-71
259,Activated T,RPS27,18.073528,0.007866218,5.1511668637327065e-73,1.3013098070090994e-70
260,Activated T,TNFAIP3,17.566025,4.6283092,4.4851548878368714e-69,1.0156435710778375e-66
261,Activated T,TMIGD2,17.37516,5.329295,1.272491519058347e-67,2.766814395468955e-65
262,Activated T,STK17A,17.144651,3.9499574,6.891183175168708e-66,1.3884991491404478e-63
263,Activated T,GPR171,16.999842,6.177553,8.23417228593853e-65,1.5923286087816702e-62
264,Activated T,CST7,16.599556,5.931652,7.020822037148169e-62,1.2784916929646815e-59
265,Activated T,CLEC2B,16.54076,3.5732858,1.866506446058221e-61,3.343188431087233e-59
266,Activated T,B2M-1,16.239716,2.877057,2.641435986435981e-59,4.56289795854538e-57
267,Activated T,EIF1,16.207506,0.14058286,4.463142992803145e-59,7.649302014018379e-57
268,Activated T,RPS29,16.155766,0.3344472,1.0342770497108895e-58,1.758834403913024e-56
269,Activated T,JUNB,16.148598,1.7486893,1.1617439776384484e-58,1.9679402635159205e-56
270,Activated T,CKLF,16.147474,3.0635254,1.183076665712893e-58,1.996339096460088e-56
271,Activated T,ARPC2,16.146542,0.9564958,1.2010942580260542e-58,2.0189470558757953e-56
272,Activated T,ABI3,16.022005,3.9165957,8.970944094659329e-58,1.4907457821786742e-55
273,Activated T,CRIP1,15.436435,3.5056038,9.310626731042435e-54,1.4277601075560654e-51
274,Activated T,RPL10,15.404458,-0.63649005,1.5276481651983678e-53,2.310184616326279e-51
275,Activated T,CD27,15.367683,4.9481254,2.6963928278301364e-53,4.0357243886126124e-51
276,Activated T,ALOX5AP,15.338545,4.278421,4.225628848970326e-53,6.239083892412132e-51
277,Activated T,GYPC,14.877342,2.1128278,4.625106900201116e-50,6.219559137427371e-48
278,Activated T,ZBTB16,14.795153,4.2405553,1.5742635824464182e-49,2.097610231927996e-47
279,Activated T,LCP2,14.7298355,4.7602253,4.147154645109994e-49,5.475747631718645e-47
280,Activated T,ARL4C,14.518832,3.6353195,9.206581847237568e-48,1.1869157907128928e-45
281,Activated T,SPOCK2,14.510887,4.8467994,1.0337480647088598e-47,1.3287919241187061e-45
282,Activated T,RPS15A,14.509572,-0.5302017,1.0537625045980115e-47,1.3480348858456655e-45
283,Activated T,RPL23A,14.454282,-0.46644077,2.3557270028505557e-47,2.9841939980458175e-45
284,Activated T,RPL27,14.421248,-0.28118876,3.803987667030998e-47,4.8048981791885177e-45
285,Activated T,RHOH,14.39514,4.3382435,5.55126130897344e-47,6.931780692782148e-45
286,Activated T,IL16,14.348381,3.8957903,1.0905313923167119e-46,1.3463441799381238e-44
287,Activated T,HCLS1,13.896832,3.801078,6.620701266430731e-44,7.757402899412565e-42
288,Activated T,RPS19,13.77347,-0.3481807,3.681013811117325e-43,4.2224416693194634e-41
289,Activated T,PLAC8,13.76925,2.837163,3.902456760276856e-43,4.464737441129311e-41
290,Activated T,ISG15,13.731902,2.4246337,6.539392575605554e-43,7.404083241561274e-41
291,Activated T,ABRACL,13.656297,1.9903852,1.851646114171508e-42,2.0591435565840096e-40
292,Activated T,DENND2D,13.628706,3.7940729,2.7033062672030453e-42,2.983467098531361e-40
293,Activated T,RGL4,13.624158,5.25064,2.87711199639039e-42,3.1672872214167663e-40
294,Activated T,SIT1,13.612169,4.970407,3.390286136196391e-42,3.722840836591132e-40
295,Activated T,CD44,13.60904,2.8497748,3.5386204498202563e-42,3.875986670148985e-40
296,Activated T,RPS26,13.585309,0.48298892,4.894618725931261e-42,5.308050044617862e-40
