,category,gene_program,p_h0,p_h1,log_bayes_factor
122,14,S100A12_combined_GP,0.06301644437045915,0.9369835556295408,-2.6992700179631806
123,7,Add-on_98_GP,0.9368237434985627,0.06317625650143732,2.696566614974636
124,9,THBS2_combined_GP,0.06322243190875368,0.9367775680912463,-2.6957866932903283
125,9,THBS1_combined_GP,0.06345309538493844,0.9365469046150615,-2.691898628025587
126,14,CD40LG_combined_GP,0.06394492985440539,0.9360550701455946,-2.6836520684408502
127,11,CEACAM7_ligand_receptor_target_gene_GP,0.06398470669752586,0.9360152933024741,-2.682987718374384
128,3,TNXB_ligand_receptor_target_gene_GP,0.0641231221149504,0.9358768778850496,-2.680678908784707
129,14,NPNT_combined_GP,0.935621903778657,0.06437809622134305,2.6764379914298284
130,7,BMP5_combined_GP,0.9345397972168122,0.06546020278318776,2.658611845729915
131,15,INHBA_combined_GP,0.9333258145882831,0.06667418541171688,2.638936498954181
132,11,CD177_ligand_receptor_GP,0.9326796487681608,0.06732035123183921,2.628599199126926
133,7,CXCL14_combined_GP,0.9325949936083764,0.06740500639162361,2.627251722169945
134,11,CD24_ligand_receptor_target_gene_GP,0.06757838241702138,0.9324216175829786,-2.6244969465842556
135,5,RBP4_ligand_receptor_target_gene_GP,0.9322270782225228,0.06777292177747718,2.6214136997981354
136,0,Add-on_28_GP,0.06864254501504276,0.9313574549849573,-2.6077306187095854
137,3,Add-on_74_GP,0.931174551809656,0.06882544819034397,2.6048731851714764
138,11,CEACAM5_combined_GP,0.9306232780372742,0.06937672196272582,2.5963031602510025
139,9,CLU_combined_GP,0.9304946631581595,0.06950533684184046,2.5943128018826656
140,0,BMP4_combined_GP,0.06952492323550281,0.9304750767644971,-2.594009994941288
141,8,CD40LG_combined_GP,0.9302253674281509,0.06977463257184913,2.5901563738358084
142,14,TFF1_combined_GP,0.9298900692852118,0.07010993071478822,2.5850019250950886
143,3,MFAP5_ligand_receptor_target_gene_GP,0.9297180491817527,0.07028195081824729,2.582366346510544
144,11,CEACAM6_combined_GP,0.929155523569317,0.07084447643068303,2.573789132804887
145,0,APOB_combined_GP,0.07112453046070255,0.9288754695392974,-2.56954239113926
146,15,Add-on_80_GP,0.07127310698930489,0.9287268930106951,-2.5672956408501326
147,11,IFNG_combined_GP,0.07186005409266108,0.928139945907339,-2.5584619907473445
148,0,CXCL1_combined_GP,0.926674943547991,0.07332505645200904,2.536700465099617
149,11,GUCA2A_combined_GP,0.9262161185981141,0.07378388140188585,2.5299672982543155
150,11,CEACAM1_ligand_receptor_target_gene_GP,0.07427818150041834,0.9257218184995817,-2.522756523014027
151,11,HHLA2_combined_GP,0.9243230209942646,0.07567697900573545,2.502587594411347
152,14,Add-on_68_GP,0.9241525880093308,0.07584741199066924,2.5001536114181615
153,11,ANPEP_ligand_receptor_target_gene_GP,0.92405480224398,0.07594519775602004,2.4987593816347844
154,2,FCER2_ligand_receptor_target_gene_GP,0.07615334447194425,0.9238466555280558,-2.4957971027332393
155,14,Add-on_49_GP,0.07629283624342124,0.9237071637565788,-2.493816054514436
156,5,TPSG1_ligand_receptor_target_gene_GP,0.9228070677206677,0.07719293227933233,2.4811122831996353
157,2,Add-on_26_GP,0.9226206751405087,0.07737932485949128,2.478498556273799
158,0,GZMB_ligand_receptor_target_gene_GP,0.07754993679839162,0.9224500632016084,-2.476111167763519
159,9,CEACAM5_combined_GP,0.07804326397257372,0.9219567360274263,-2.4692349591614153
160,0,SNCA_ligand_receptor_GP,0.07833144217454019,0.9216685578254598,-2.465236594432793
161,1,Add-on_77_GP,0.9216044196103097,0.0783955803896903,2.4643485323156726
162,5,ANXA1_combined_GP,0.9214495603188725,0.07855043968112752,2.462207076949897
